parameter_name,Right kidney weight
pvalue,0.9665486
analysis_id,s15ovdwv377xfc7
parameter_id,IMPC_OWT_004_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1914583
gene_symbol,Stk35
