parameter_id,IMPC_FEA_106_001
analysis_id,nu4174aq78580s2
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
gene_accession_id,MGI:99501
mouse_life_stage,E12.5
mouse_strain,C57BL
pvalue,0.5146079
gene_symbol,Fgb
