parameter_name,Periphery resting time
parameter_id,HRWLLA_OFD_011_001
analysis_id,q9b90500r20ldb9
gene_accession_id,MGI:1915033
gene_symbol,Ahctf1
pvalue,0.6625606
mouse_life_stage,Early adult
mouse_strain,C57BL
