gene_symbol,Gbp7
parameter_name,Center average speed
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,jm8f39p9y2w100e
pvalue,0.8503543
gene_accession_id,MGI:2444421
parameter_id,JAX_OFD_017_001
