gene_symbol,AU040320
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
parameter_id,MGP_IMM_017_001
analysis_id,rmuvdy80tw4p345
pvalue,0.6094492
gene_accession_id,MGI:2140475
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
