gene_symbol,Dzank1
parameter_id,IMPC_CAL_008_001
parameter_name,Total food intake
mouse_strain,C50BL
gene_accession_id,MGI:2139080
mouse_life_stage,Early adult
analysis_id,t3822cnx2jd3364
pvalue,0.200904
