gene_symbol,Sgip1
mouse_life_stage,Early adult
analysis_id,21b9ty56x5eqxs6
mouse_strain,C57BL
pvalue,0.6428467
parameter_name,RR
gene_accession_id,MGI:1920344
parameter_id,IMPC_ECG_004_001
