gene_symbol,Rigi
pvalue,0.4969262
parameter_id,IMPC_XRY_065_001
parameter_name,Lumbar processes
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,fh65jb9u3so05ki
gene_accession_id,MGI:2442858
