parameter_id,MGP_CSD_030_001
gene_symbol,Tnfsf10
parameter_name,Limb coat/hair presence
mouse_strain,C57BL
pvalue,0.4002999
mouse_life_stage,Early adult
analysis_id,98e82k855j93g22
gene_accession_id,MGI:107414
