mouse_strain,129SV
pvalue,0.9281646
parameter_id,M-G-P_007_001_010
mouse_life_stage,Early adult
gene_accession_id,MGI:1923959
analysis_id,gdqkxrn1a23f80f
parameter_name,center - distance
gene_symbol,Arpc2
