parameter_id,IMPC_IMM_052_001
gene_symbol,Tnni1
parameter_name,Eosinophils
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:105073
pvalue,0.7889822
analysis_id,7gm9gvi02ugym62
