parameter_id,JAX_PLC_002_001
parameter_name,HDL cholesterol
mouse_strain,C57BL
gene_accession_id,MGI:1921442
mouse_life_stage,Early adult
pvalue,0.2171294
gene_symbol,Arpc5l
analysis_id,uc17bnec6k7uyn8
