parameter_name,Tremor
gene_symbol,Mapkap1
analysis_id,llzlnpv7y0a844x
mouse_life_stage,E15.5
gene_accession_id,MGI:2444554
pvalue,0.927321
parameter_id,TCPLA_CSD_030_001
mouse_strain,C57BL
