analysis_id,e235e05fh45d54s
pvalue,0.8070699
gene_accession_id,MGI:1915472
gene_symbol,Tubb4b
parameter_name,Resting NK cells - % of CD45+
parameter_id,MGP_IMM_100_001
mouse_strain,C57BL
mouse_life_stage,Early adult
