parameter_name,Alkaline phosphatase
analysis_id,2r4x783c385c36c
gene_accession_id,MGI:1914556
parameter_id,HRWLLA_CBC_014_001
mouse_life_stage,Early adult
gene_symbol,Zc2hc1a
mouse_strain,C57BL
pvalue,0.4017369
