analysis_id,9n36d61hcp74vlm
gene_symbol,Rgs20
mouse_life_stage,Early adult
pvalue,0.4521136
gene_accession_id,MGI:1929866
mouse_strain,C57BL
parameter_name,KLRG1+ mature NK cell percentage
parameter_id,MGP_PBI_011_001
