analysis_id,0pj3p0483e81585
mouse_strain,C57BL
pvalue,0.3718095
mouse_life_stage,Early adult
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
parameter_id,MGP_IMM_112_001
parameter_name,Follicular B cells - % of CD45+
