parameter_name,Fasted blood glucose concentration
pvalue,0.8733418
gene_symbol,Pum1
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,038nul905k072h6
gene_accession_id,MGI:1931749
parameter_id,IMPC_IPG_010_001
