parameter_name,B Cells
pvalue,0.3096393
gene_symbol,Rab22a
analysis_id,k6vl45uq0i70flq
parameter_id,IMPC_IMM_063_001
gene_accession_id,MGI:105072
mouse_life_stage,Early adult
mouse_strain,C57BL
