gene_symbol,AU040320
pvalue,0.9027526
analysis_id,o7p731d6kn8g35f
parameter_name,Periphery distance travelled
mouse_life_stage,Late adult
gene_accession_id,MGI:2140475
mouse_strain,C57BL
parameter_id,HRWLLA_OFD_010_001
