parameter_name,Ly6Clow monocyte percentage
mouse_strain,C57BL
gene_symbol,Bmi1
pvalue,0.06573679
parameter_id,MGP_PBI_018_001
gene_accession_id,MGI:88174
analysis_id,v3up6o0itb0qu9d
mouse_life_stage,Early adult
