analysis_id,pz6eg82bw7g4qv5
parameter_name,Total T cells - % of CD45+
pvalue,0.1990716
mouse_strain,C57BL
parameter_id,MGP_IMM_001_001
gene_accession_id,MGI:2442483
gene_symbol,Usp37
mouse_life_stage,Early adult
