gene_symbol,Pglyrp3
analysis_id,381230c476l0b8l
gene_accession_id,MGI:2685266
pvalue,0.2897506
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_079_001
parameter_name,KLRG1+ Treg cells - % of CD45+
