mouse_strain,C57BL
gene_accession_id,MGI:2446186
pvalue,0.8954091
parameter_name,Body weight
analysis_id,9cmvrj447fra3wc
gene_symbol,Lpgat1
mouse_life_stage,Early adult
parameter_id,M-G-P_009_001_003
