parameter_name,Tibia length
parameter_id,IMPC_XRY_033_001
mouse_strain,C57BL
pvalue,0.761116
mouse_life_stage,Early adult
gene_symbol,Pld1
gene_accession_id,MGI:109585
analysis_id,g1wpugrzkna013g
