analysis_id,5dn9t5l8dbr33iw
mouse_strain,C57BL
pvalue,0.4869883
gene_symbol,Hspa5
mouse_life_stage,E12.5
gene_accession_id,MGI:95835
parameter_id,UCDLA_EYE_017_001
parameter_name,Lens Opacity
