gene_symbol,Extl1
parameter_id,MGP_PBI_002_001
gene_accession_id,MGI:1888742
parameter_name,Alpha beta T cell percentage
pvalue,0.3258245
analysis_id,19xm1x171s3a7gr
mouse_life_stage,Early adult
mouse_strain,C57BL
