parameter_name,Placenta Size
parameter_id,IMPC_GPP_004_001
gene_accession_id,MGI:1914944
mouse_strain,C57BL
gene_symbol,Ift74
pvalue,0.8924334
analysis_id,9l074n00l5a4kgz
mouse_life_stage,Early adult
