gene_symbol,Lcn2
analysis_id,zg757k483f9a731
gene_accession_id,MGI:96757
mouse_strain,C57BL
parameter_name,Fractional Shortening
pvalue,0.8443878
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_005_001
