analysis_id,mo09rw179r8481a
gene_accession_id,MGI:1915087
parameter_name,Clavicle
parameter_id,IMPC_XRY_007_001
pvalue,0.4912459
gene_symbol,Tiprl
mouse_strain,C57BL
mouse_life_stage,E9.5
