analysis_id,434e09nz1lo7060
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_name,lens
pvalue,0.5946351
parameter_id,M-G-P_014_001_009
gene_symbol,Cntfr
gene_accession_id,MGI:99605
