analysis_id,p7c75c637ksf1r5
pvalue,0.8829036
gene_accession_id,MGI:1915325
parameter_id,UCD_OWT_008_001
mouse_strain,C57BL
parameter_name,Liver weight
gene_symbol,Lurap1
mouse_life_stage,Early adult
