gene_symbol,Sass6
parameter_name,Total ab T cells - % of CD45+
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_id,MGP_MLN_063_001
analysis_id,0556o63ga1392ku
gene_accession_id,MGI:1920026
pvalue,0.2043641
