parameter_name,Head coat/hair presence
mouse_strain,C57BL
pvalue,0.05263079
analysis_id,cbn73140dos9ba6
gene_accession_id,MGI:1916846
parameter_id,MGP_CSD_015_001
mouse_life_stage,Early adult
gene_symbol,Ap5s1
