analysis_id,ji1np3yluvx71fk
parameter_id,UCD_OWT_008_001
parameter_name,Liver weight
mouse_strain,C57BL
pvalue,0.8522598
gene_accession_id,MGI:1913405
gene_symbol,Ufc1
mouse_life_stage,Early adult
