parameter_name,Cornea vascularisation
pvalue,0.3037835
parameter_id,ESLIM_014_001_008
mouse_life_stage,Early adult
gene_accession_id,MGI:1917810
gene_symbol,Wars2
analysis_id,05sax26gd98223w
mouse_strain,C57BL
