analysis_id,2037n5w5o91ft3a
pvalue,0.8935469
gene_accession_id,MGI:3588214
mouse_strain,C57BL
gene_symbol,Rufy4
mouse_life_stage,Early adult
parameter_id,MGP_CSD_015_001
parameter_name,Head coat/hair presence
