parameter_id,IMPC_ACS_034_001
mouse_life_stage,Middle aged adult
parameter_name,% Pre-pulse inhibition - PPI2
gene_accession_id,MGI:1336200
gene_symbol,Hpca
mouse_strain,C57BL
pvalue,0.9561239
analysis_id,6hf777l8vydneog
