analysis_id,92f0okdi5o3ggp2
pvalue,0.646649
parameter_name,110dB startle magnitude
gene_symbol,Duoxa2
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_006
gene_accession_id,MGI:1914061
mouse_strain,C57BL
