gene_symbol,Lpgat1
mouse_life_stage,Early adult
pvalue,0.300266
gene_accession_id,MGI:2446186
parameter_id,IMPC_HEM_030_001
parameter_name,Neutrophil cell count
analysis_id,5p8tp48apzga465
mouse_strain,C57BL
