analysis_id,7828z8s0to8paud
gene_accession_id,MGI:1345282
pvalue,0.1338962
gene_symbol,Slc30a4
parameter_name,B Cells
parameter_id,IMPC_IMM_063_001
mouse_life_stage,Late adult
mouse_strain,C57BL
