gene_symbol,Nanp
parameter_name,BMC/Body weight
pvalue,0.8267403
mouse_strain,C57BL
analysis_id,6xj5x06op8t1432
mouse_life_stage,Early adult
parameter_id,JAXLA_DXA_007_001
gene_accession_id,MGI:1914561
