analysis_id,xx7sce3z2ioi00e
gene_symbol,Slc39a10
mouse_life_stage,Early adult
pvalue,0.2563423
parameter_name,Time mobile dark side
gene_accession_id,MGI:1914515
parameter_id,JAX_LDT_005_001
mouse_strain,C57BL
