analysis_id,23cma195i3431p3
pvalue,0.9554668
mouse_strain,C57BL
gene_accession_id,MGI:1916043
parameter_id,IMPC_CBC_013_001
mouse_life_stage,Early adult
gene_symbol,Rab3gap2
parameter_name,Alanine aminotransferase
