analysis_id,gpv69z71063k8yj
parameter_name,Narrow eye opening
gene_symbol,Exd1
mouse_strain,C57BL
pvalue,0.7609767
mouse_life_stage,Early adult
gene_accession_id,MGI:3045306
parameter_id,IMPC_EYE_006_001
