analysis_id,4zo8s999ts8261r
gene_accession_id,MGI:1338032
gene_symbol,Sema6c
mouse_life_stage,Early adult
parameter_name,ST
pvalue,0.2716715
parameter_id,IMPC_ECG_008_001
mouse_strain,C57BL
