analysis_id,3opr364ei2h089a
mouse_life_stage,Early adult
parameter_name,CD8+ alpha beta T cell percentage
parameter_id,MGP_PBI_004_001
gene_symbol,Lurap1
gene_accession_id,MGI:1915325
pvalue,0.8123114
mouse_strain,C57BL
