analysis_id,1745tt317i713e6
parameter_name,Delayed embryonic development
gene_symbol,Extl1
gene_accession_id,MGI:1888742
pvalue,0.715714
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_063_001
