analysis_id,7uw94y244x395eu
mouse_life_stage,Early adult
gene_accession_id,MGI:2653612
pvalue,0.9915216
parameter_name,Transitional B Cells (CD21/35 low)
mouse_strain,C57BL
gene_symbol,Amigo1
parameter_id,IMPC_IMM_069_001
