parameter_id,MGP_BMI_014_001
analysis_id,xjxs86q84s1tp20
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1924054
pvalue,0.1344573
gene_symbol,Kdm4c
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
