analysis_id,46ekr7pba6w5p23
gene_accession_id,MGI:95576
parameter_name,Weight
mouse_life_stage,Early adult
gene_symbol,Fpgs
pvalue,0.9469686
parameter_id,M-G-P_005_001_001
mouse_strain,C57BL
