analysis_id,s96ok420dz38m3q
mouse_strain,C57BL
pvalue,0.09757924
gene_accession_id,MGI:103302
parameter_name,Percentage center time
parameter_id,JAX_OFD_022_001
mouse_life_stage,Early adult
gene_symbol,Bmp7
