parameter_id,JAX_SLW_013_001
gene_accession_id,MGI:1915472
parameter_name,Breath rate during sleep mean
pvalue,0.2166327
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Tubb4b
analysis_id,74540jtf81a00y1
