gene_symbol,Dnaaf9
gene_accession_id,MGI:1923029
analysis_id,m40255e57kd4xr0
pvalue,0.1770145
mouse_strain,C57BL
parameter_id,IMPC_XRY_021_001
parameter_name,Humerus
mouse_life_stage,Early adult
