analysis_id,5n94670895jm386
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_017_002
mouse_strain,C57BL
gene_symbol,Fpgs
parameter_name,Pale yolk sac
gene_accession_id,MGI:95576
pvalue,0.8320486
