analysis_id,rjl0h9su7e704z7
mouse_strain,129SV
parameter_name,CD11b-high cDC - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:2684980
parameter_id,MGP_IMM_129_001
gene_symbol,Mms22l
pvalue,0.1142435
