parameter_name,12kHz-evoked ABR Threshold
analysis_id,o6fpb0b00k11036
mouse_life_stage,Early adult
mouse_strain,C54BL
gene_symbol,Lurap1
parameter_id,IMPC_ABR_006_001
pvalue,0.5314543
gene_accession_id,MGI:1915325
