analysis_id,qzg1pe68t455wpa
gene_accession_id,MGI:1918025
gene_symbol,Zmynd8
parameter_name,Vibrissae - presence
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_023_001
pvalue,0.3409701
mouse_strain,C57BL
