analysis_id,133oyi3c21j963u
gene_accession_id,MGI:1918025
pvalue,0.7830609
gene_symbol,Zmynd8
parameter_id,IMPC_HEM_003_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Hemoglobin
