parameter_name,DN NKT cells
analysis_id,690172jgw05718a
parameter_id,IMPC_IMM_013_001
mouse_life_stage,Early adult
pvalue,0.1683775
gene_symbol,Cpa3
mouse_strain,C57BL
gene_accession_id,MGI:88479
