parameter_name,Eye
parameter_id,M-G-P_014_001_001
mouse_life_stage,Early adult
pvalue,0.9640053
mouse_strain,C57BL
gene_accession_id,MGI:109585
analysis_id,s97924gt124d98a
gene_symbol,Pld1
