parameter_name,Ventral coat/hair presence
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
parameter_id,MGP_CSD_025_001
mouse_life_stage,E18.5
analysis_id,70wr37ss5926h29
pvalue,0.925672
mouse_strain,C57BL
