parameter_name,Midbrain
pvalue,0.6500424
gene_accession_id,MGI:1913838
gene_symbol,Cmpk1
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_029_001
mouse_strain,C57BL
analysis_id,13pzss047a372jj
