gene_symbol,Amigo1
pvalue,0.2952592
parameter_id,MGP_MLN_066_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2653612
analysis_id,y1d2l4x3fb470i1
parameter_name,Effector CD4+ T helper cells - % of CD45+
